Hour,Demand,Reserves
1549,21758,1445
1550,20916,1921
1551,20170,1948
1552,19782,1692
1553,20082,1601
1554,21049,2040
1555,23148,1955
1556,24561,2330
1557,24977,2389
1558,24747,2241
1559,23908,1764
1560,23200,1396
1561,22979,1376
1562,23161,1874
1563,23470,1950
1564,23943,1951
1565,24632,1344
1566,26100,1617
1567,28056,2250
1568,28142,1821
1569,26406,1983
1570,24352,2323
1571,22739,1226
1572,21458,1546
1573,20427,1392
1574,19602,1305
1575,18847,1422
1576,18455,1687
1577,18736,1206
1578,19608,1298
1579,21283,1821
1580,22018,1621
1581,21928,1619
1582,21268,1500
1583,20023,1385
1584,18930,1877
1585,18225,1184
1586,17917,1064
1587,17844,978
1588,17973,1747
1589,18484,1072
1590,19866,1695
1591,22012,1614
1592,22679,1962
1593,22483,2133
1594,22068,1767
1595,21542,1219
1596,21014,1199
1597,20547,1674
1598,20328,1472
1599,20154,1835
1600,20062,1830
1601,20430,1088
1602,20847,1204
1603,21431,1914
1604,21381,1140
1605,20931,1187
1606,20246,2004
1607,19249,1631
1608,18250,1124
1609,17441,1555
1610,16991,1625
1611,16786,1229
1612,16708,850
1613,16911,960
1614,17424,1310
1615,18210,1665
1616,19004,1191
1617,19839,1686
1618,20294,1609
1619,20403,1278
1620,20032,1124
1621,19576,1840
1622,19238,1165
1623,19016,1481
1624,18956,974
1625,19128,1202
1626,19459,1594
1627,19998,1560
1628,19971,1675
1629,19626,1213
1630,19041,1378
1631,18183,937
1632,17252,1003
1633,16486,833
1634,5969,362
1635,10044,800
1636,15991,1168
1637,15754,1404
1638,15938,1500
1639,16402,1399
1640,17113,1676
1641,17739,1575
1642,17999,1329
1643,17652,1428
1644,17130,867
1645,16890,893
1646,16400,1105
1647,15930,1042
1648,15678,1059
1649,15654,1012
1650,15850,1532
1651,16148,867
1652,17104,1215
1653,17666,1735
1654,17056,1128
1655,15993,1218
1656,14827,1335
1657,13969,1214
1658,13522,698
1659,13374,953
1660,13420,1124
1661,13903,1157
1662,15226,1497
1663,17443,996
1664,18772,1663
1665,18671,1491
1666,18377,949
1667,17989,1400
1668,17535,1258
1669,17284,890
1670,17307,1523
1671,17222,913
1672,17199,939
